EXCEL SATIR 2 OK | ALPLİ | 12.06.2026 | Seyir=5 | FAZ30_LISTE=4-6-11-5-2-12-8-1-3-10
EXCEL SATIR 3 OK | ALPLİ | 27.05.2026 | Seyir=8 | FAZ30_LISTE=11-10-4-12-6-5-1-2-3-8
EXCEL SATIR 4 OK | ALPLİ | 19.05.2026 | Seyir=2 | FAZ30_LISTE=10-2-3-4-9-11-5-6-7-8
EXCEL SATIR 5 OK | GÜMÜŞ KILIÇ | 01.07.2026 | Seyir=3 | FAZ30_LISTE=6-11-3-14-8-10-12-9-9-5
EXCEL SATIR 6 OK | KARANLIK | 01.07.2026 | Seyir=1 | FAZ30_LISTE=6-11-3-14-8-10-12-9-9-5
EXCEL SATIR 7 OK | MESTAN | 10.07.2026 | Seyir=4 | FAZ30_LISTE=6-7-9-10-11-8-2-1-5-4
EXCEL SATIR 8 OK | MESTAN | 03.06.2026 | Seyir=7 | FAZ30_LISTE=6-2-9-1-11-8-10-7-5-14
EXCEL SATIR 9 OK | TANERDEN | 01.07.2026 | Seyir=8 | FAZ30_LISTE=6-11-3-14-10-8-9-12-9-5
EXCEL SATIR 10 OK | AYBUKET | 08.07.2026 | Seyir=4 | FAZ30_LISTE=6-4-2-7-5
EXCEL SATIR 11 OK | TEPEBAĞ KIZI | 05.07.2026 | Seyir=6 | FAZ30_LISTE=8-5-9-10-2-12-6-9-11-1
EXCEL SATIR 12 OK | ERDEK | 05.07.2026 | Seyir=2 | FAZ30_LISTE=1-12-10-5-11-4-8-6-9-2
EXCEL SATIR 13 OK | ERDEK | 10.06.2026 | Seyir=4 | FAZ30_LISTE=7-9-1-2-4-8-5-6-3-10
EXCEL SATIR 14 OK | ERDEK | 24.04.2026 | Seyir=1 | FAZ30_LISTE=4-10-17-12-3-10-17-6-1-9
EXCEL SATIR 15 OK | ERDEK | 04.04.2026 | Seyir=1 | FAZ30_LISTE=7-11-8-4-2-3-6-9-5-10
EXCEL SATIR 16 OK | ERDEK | 25.03.2026 | Seyir=1 | FAZ30_LISTE=6-7-14-2-3-9-10-12-4-1
EXCEL SATIR 17 OK | ERDEK | 07.03.2026 | Seyir=1 | FAZ30_LISTE=8-6-12-3-9-10-14-7-9-2
EXCEL SATIR 18 OK | KIR PAPATYASI | 03.07.2026 | Seyir=3 | FAZ30_LISTE=1-7-3-11-9-9-10-4-5-2
EXCEL SATIR 19 OK | KIR PAPATYASI | 22.06.2026 | Seyir=3 | FAZ30_LISTE=10-7-1-12-3-4-9-17-10-2
EXCEL SATIR 20 OK | KIR PAPATYASI | 08.05.2026 | Seyir=2 | FAZ30_LISTE=7-2-4-5-1-11-9-7-9-8
EXCEL SATIR 21 OK | KIR PAPATYASI | 29.04.2026 | Seyir=8 | FAZ30_LISTE=12-4-6-10-3-1-8-2-9-11
EXCEL SATIR 22 OK | KIR PAPATYASI | 04.03.2026 | Seyir=3 | FAZ30_LISTE=8-3-6-11-2-5-7-4-9-1
EXCEL SATIR 23 OK | KIR PAPATYASI | 11.02.2026 | Seyir=6 | FAZ30_LISTE=9-1-5-6-3-4-9-10-14-7
EXCEL SATIR 24 OK | KIR PAPATYASI | 24.01.2026 | Seyir=6 | FAZ30_LISTE=14-11-3-12-2-7-5-1-9-10
EXCEL SATIR 25 OK | SEMRAKAYA | 12.07.2026 | Seyir=6 | FAZ30_LISTE=4-2-1-5-6-3-7-8-4-4
EXCEL SATIR 26 OK | SEMRAKAYA | 16.06.2026 | Seyir=7 | FAZ30_LISTE=5-7-3-6-2-1-4-8-4-4
EXCEL SATIR 27 OK | SEMRAKAYA | 05.06.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=11-2-9-7-10-12-1-6-5-3
EXCEL SATIR 28 OK | ŞİMŞEK YELELİ | 25.06.2026 | Seyir=6 | FAZ30_LISTE=8-2-1-5-4-7-6-3-8-9
EXCEL SATIR 29 OK | ŞİMŞEK YELELİ | 08.05.2026 | Seyir=5 | FAZ30_LISTE=7-2-4-5-1-11-9-7-9-8
EXCEL SATIR 30 OK | ŞİMŞEK YELELİ | 24.04.2026 | Seyir=6 | FAZ30_LISTE=11-4-10-17-12-3-10-17-6-1
EXCEL SATIR 31 OK | ŞİMŞEK YELELİ | 11.04.2026 | Seyir=3 | FAZ30_LISTE=5-4-6-1-2-3-13-13-13-13
EXCEL SATIR 32 OK | ŞİMŞEK YELELİ | 25.03.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=6-7-14-2-1-9-10-12-4-1
EXCEL SATIR 33 OK | ŞİMŞEK YELELİ | 24.01.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=14-11-3-12-6-9-2-4-7-5
EXCEL SATIR 34 OK | TUMBUL MÜZEYYEN | 03.07.2026 | Seyir=4 | FAZ30_LISTE=1-7-3-11-9-9-10-4-2-12
EXCEL SATIR 35 OK | TUMBUL MÜZEYYEN | 20.06.2026 | Seyir=3 | FAZ30_LISTE=7-3-4-6-5-8-10-9-2-1
EXCEL SATIR 36 OK | TUMBUL MÜZEYYEN | 04.06.2026 | Seyir=3 | FAZ30_LISTE=10-4-8-7-3-14-9-9-12-5
EXCEL SATIR 37 OK | TUMBUL MÜZEYYEN | 23.05.2026 | Seyir=3 | FAZ30_LISTE=7-1-9-2-6-14-11-3-5-1
EXCEL SATIR 38 OK | TUMBUL MÜZEYYEN | 07.05.2026 | Seyir=1 | FAZ30_13_BULUNAMADI_ILK_SLOT_KABUL_LISTE=1-9-9-8-7-10-2-14-3-12
EXCEL SATIR 39 OK | TUMBUL MÜZEYYEN | 04.04.2026 | Seyir=7 | FAZ30_LISTE=4-8-7-9-10-5-6-2-1-3
EXCEL SATIR 40 OK | YEŞİLKAYA | 02.07.2026 | Seyir=1 | FAZ30_LISTE=1-10-11-3-8-6-2-9-4-7
EXCEL SATIR 41 OK | YEŞİLKAYA | 22.06.2026 | Seyir=1 | FAZ30_LISTE=10-7-1-12-3-4-9-17-10-2
EXCEL SATIR 42 HATA | SAKIZ ADASI | 03.07.2026 | Video işlendi ama sonuç satırı çıkmadı | ==================================================================
VIDEO 40
Satır: 03.07.2026 İstanbul 1400 S:Normal 2 1.34.19 56 KDB A.SÖZEN 13 7,95 4A 1 ŞARTLI 3 C.TURAN ERSİN ERDEM 64 188.000 15
Video URL: https://www.tjk.org/TR/YarisSever/Info/YarisVideoAt/At?AtKodu=107294&KosuKodu=225946
MP4 URL: https://video-cdn.tjk.org/videoftp/2026/7/26070331.mp4
At No: 4
Derece: 1.34.19 => 94.19
Video Başlangıç Offset: 0.0
HATA: Video elementi bulunamadı veya video hazır olmadı. Excel satırı yazılmadı.
