tarih,il,kosu,atno,at,baba,mesafe,zemin,irk,saat,kosu_yorum,kosu_final,gecmis_n,p50_max,p50_ort,p66_max,p66_ort,p75_max,p75_ort,derece_en_iyi_cs,g30_en_iyi,g30_n,songalop_en_iyi,songalop_n,orj_kalite,orj_mesafe,orj_sprinter,orj_kacak,dede_kalite,dede_mesafe,extrem_tip,extrem_gun,gec_cikis,derecesiz,gecmis_yok
21.07.2026,Kocaeli,1,1,SÖNMEZ YİĞİT,KANEKO,2000,Kum,İngiliz,17:45,Kaçak/Stalker,58.99638327780001,2,-1.0,-3.5,1.6672000000000091,-2.33,1.0,-3.5,6677,,0,3.0,1,2.86,0.35,,29.83,,,,,0,0,0
21.07.2026,Kocaeli,1,2,GRAND MISSION,JIMMY CREED,2000,Kum,İngiliz,17:45,Kaçak/Stalker,58.99638327780001,10,11.0,-7.05,11.000800000000009,-2.97,10.0,-2.3,6603,,0,3.1,1,0.02,0.44,,9.52,,,,,1,0,0
21.07.2026,Kocaeli,1,3,KING OF THE NIGHT,PACO BOY,2000,Kum,İngiliz,17:45,Kaçak/Stalker,58.99638327780001,7,6.0,-10.0,5.332800000000006,-6.91,6.0,-5.18,6660,-0.8,3,12.25,1,0.0,0.32,,20.0,1.61,0.36,,,0,0,0
21.07.2026,Kocaeli,1,4,BY TÜRE,CORINTHIAN,2000,Kum,İngiliz,17:45,Kaçak/Stalker,58.99638327780001,2,-4.5,-9.25,-3.6643999999999872,-8.33,-4.25,-9.12,6625,-3.6,4,-3.6,1,0.03,0.35,,39.47,0.47,0.26,uzun,91,0,0,0
21.07.2026,Kocaeli,1,5,AFTER YOU,DAI JIN,2000,Kum,İngiliz,17:45,Kaçak/Stalker,58.99638327780001,3,0.5,-6.33,3.6654000000000058,-2.45,3.0,-1.83,6717,-0.3,1,1.6,1,0.39,0.36,,14.35,4.04,0.13,,,0,0,0
21.07.2026,Kocaeli,1,6,LION PEKAN,TIZWAY,2000,Kum,İngiliz,17:45,Kaçak/Stalker,58.99638327780001,3,4.5,2.17,6.667200000000007,1.67,4.75,1.25,6706,,0,,0,0.53,0.28,,38.52,0.3,0.2,sik,5,0,0,0
21.07.2026,Kocaeli,1,7,RÜZGAR UĞUR,SIDNEY'S CANDY,2000,Kum,İngiliz,17:45,Kaçak/Stalker,58.99638327780001,0,,,,,,,,,0,0.2,1,0.27,0.23,,34.91,2.98,0.43,,,0,0,1
21.07.2026,Kocaeli,1,8,STEEL FATHER,LION HEART,2000,Kum,İngiliz,17:45,Kaçak/Stalker,58.99638327780001,6,-11.5,-18.42,-3.6703999999999954,-14.61,1.0,-12.04,6723,,0,4.0,1,2.0,0.25,,27.37,2.21,0.29,,,0,0,0
21.07.2026,Kocaeli,1,9,SİYAH KRAL,AGRESIVO,2000,Kum,İngiliz,17:45,Kaçak/Stalker,58.99638327780001,2,-44.0,-48.0,-42.33439999999999,-44.83,-45.0,-46.75,6810,-2.0,2,2.1,1,0.52,0.25,,22.56,0.4,0.26,,,1,0,0
21.07.2026,Kocaeli,2,1,AL SAROUT,MENDIP,1500,Kum,İngiliz,18:30,Nötr,-2.537345544712343,3,16.0,13.33,9.669600000000003,8.89,4.5,4.0,6729,,0,9.2,1,1.22,,0.19,37.94,,,,,0,0,0
21.07.2026,Kocaeli,2,2,STORMER,KANEKO,1500,Kum,İngiliz,18:30,Nötr,-2.537345544712343,2,-1.0,-3.0,-9.327200000000005,-9.33,-13.0,-13.0,6810,-2.2,2,0.2,1,2.86,,0.23,29.83,0.0,,,,0,0,0
21.07.2026,Kocaeli,2,3,WARRIOR MAN,SUPER SAVER,1500,Kum,İngiliz,18:30,Nötr,-2.537345544712343,6,7.0,-1.92,4.002400000000002,-4.72,3.0,-5.54,6841,,0,-0.6,1,0.09,,0.25,18.88,2.98,,sik,5,0,0,0
21.07.2026,Kocaeli,2,4,HAMMERWICH,PAPA CLEM,1500,Kum,İngiliz,18:30,Nötr,-2.537345544712343,5,8.0,3.2,4.004400000000005,-1.8,-0.5,-4.25,6716,-1.0,3,-0.7,1,0.42,,0.23,28.14,0.39,,,,0,0,0
21.07.2026,Kocaeli,2,5,VICTORY STAR,LION HEART,1500,Kum,İngiliz,18:30,Nötr,-2.537345544712343,6,13.5,-0.67,11.668400000000005,0.95,10.5,-0.75,6562,-1.75,1,-1.75,1,2.0,,0.22,27.37,0.35,,,,1,0,0
21.07.2026,Kocaeli,2,6,IRON CLEM,PAPA CLEM,1500,Kum,İngiliz,18:30,Nötr,-2.537345544712343,1,-14.0,-14.0,-19.998399999999997,-20.0,-21.0,-21.0,6736,-4.3,1,-4.3,1,0.42,,0.23,28.14,0.48,,,,0,0,0
21.07.2026,Kocaeli,2,7,BLUE STAR,BLUEGRASS CAT,1500,Kum,İngiliz,18:30,Nötr,-2.537345544712343,1,7.5,7.5,4.669800000000002,4.67,-2.0,-2.0,6850,-3.1,4,-3.0,1,0.25,,0.16,36.26,0.66,,,,0,0,0
21.07.2026,Kocaeli,2,8,ANSHBA FOREVER,BODEMEISTER,1500,Kum,İngiliz,18:30,Nötr,-2.537345544712343,0,,,,,,,,-2.8,6,-2.8,1,0.28,,0.26,24.31,2.4,,uzun,321,0,0,1
21.07.2026,Kocaeli,3,1,SUPER LION,HEP BERABER,1200,Kum,İngiliz,19:00,,,5,34.0,28.3,4.667199999999994,-1.27,4.0,-2.05,6640,-1.8,3,,0,0.03,1.0,0.09,47.83,2.21,0.55,,,0,0,0
21.07.2026,Kocaeli,3,2,TEMERARIO,BODEMEISTER,1200,Kum,İngiliz,19:00,,,5,27.0,26.8,-2.332799999999999,-2.6,-3.0,-3.3,6596,-1.0,1,-0.35,1,0.28,0.61,0.26,24.31,2.98,0.39,,,0,0,0
21.07.2026,Kocaeli,3,3,BAŞIMIN BELASI,MYBOYCHARLIE,1200,Kum,İngiliz,19:00,,,0,,,,,,,,-0.4,1,-0.4,1,0.27,0.41,0.31,24.4,0.31,0.33,,,0,0,1
21.07.2026,Kocaeli,3,4,KOCA ÖMER,AZARAKS,1200,Kum,İngiliz,19:00,,,1,0.0,0.0,-29.3328,-29.33,-30.0,-30.0,7133,-0.2,2,3.8,1,0.13,0.49,0.22,31.76,0.83,0.54,,,0,0,0
21.07.2026,Kocaeli,3,5,ONUR BEYİM,GRAYSTORM,1200,Kum,İngiliz,19:00,,,2,36.0,33.5,5.334400000000009,3.33,4.0,2.25,6882,-1.4,3,-0.7,1,0.22,0.41,0.24,32.52,1.35,0.46,,,0,0,0
21.07.2026,Kocaeli,3,6,TALLIN,BODYGUARD HERO,1200,Kum,İngiliz,19:00,,,1,0.0,0.0,-29.3328,-29.33,-30.0,-30.0,7112,-2.9,2,-2.9,1,0.02,0.75,0.13,23.33,0.78,0.61,,,0,0,0
