Bursa;(27. Yarış Günü);13/07/2026
1. Kosu :   13.30;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 1800m; Çim;;;;Rekor Derece :1.46.66
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;GOLDEN SAIL KG K;3y a  e;PIANO SONATA;GOLD TULIP;53,5 +0.70;N.AVCİ;IŞIK KADER KALKAVAN;M.ESMER;6;%23.46(2);42;1:49.69;3,85;Boyun
2;CHOSEN ONE DB SKG SK;3y a  e;CRIMEAN TATAR;GOLDEN RATIO;58,5 +0.20;İ.GÜREKE AP;SERVET KAZANKAYA;T.YILMAZ;3;%8.26(6);58;1:49.74;8,95;6 Boy
3;LUPIN K DB;3y d  d;AMERİKALI;INDIGO;53 +1.50;A.İNCİ;KEMAL KURT;D.KAYA;5;%9.93(5);41;1:50.63;9,60;3 Boy
4;SOSAN KG DB SK;3y d  e;ENYALIOS;LADY JULIET;52 +2.00;MAH.TURAN;MUSA SOSAN;İ.TURAN;7;%12.02(3);32;1:51.06;6,00;Boyun
5;YOU AND ME DB SKG SK;3y d  d;HASAFET;NO DRAMA;53,5 +2.00;T.YILDIZ;MEHMET KATAR;M.ATAL;4;%10.59(4);42;1:51.09;7,65;
6;ZEKİ REİS KG DB SK;3y d  e;BLAZE TO WIN;LION CLAW;53,5 +1.40;V.ABİŞ;VEYİS AKKILIÇ;T.ATEŞ;9;%27.16(1);42;1:51.10;2,65;
7;LITTLE BATTLER K DB;3y d  d;SADLER'S JOY (USA);LITTLE HEART (USA);52 +1.40;Ö.F.ÖZEN AP;NİHAT SAĞLAM;O.TAŞDEMİR;8;%2.16(8);38;1:51.46;23,20;
8;SHADOW MASTER SK;3y d  e;LUXOR;SOLO GİTAR;52 +2.00;O.YILDIZ;SİNAN AKKUŞ;A.ÖCAL;11;%1.65(9);36;1:52.30;20,65;
9;HUAYRA SK;3y d  e;AUTHORIZED (IRE);ALTINBAŞAK;52 +1.40;C.PASO;MUHAMMET FELHAN;S.ÖNDER;2;%1.07(10);31;1:52.74;40,35;
