Elazığ;(22. Yarış Günü);15/07/2026
1. Kosu :   17.45;Maiden/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.21.14
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)118.500 TL;2.)47.400 TL;3.)23.700 TL;4.)11.850 TL;5.)5.925 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;CANŞİLAN K;3y a  d;KURUŞAĞA;GÜLŞİLAN;57;H.ALTUNKILIÇ;ALİ GÖZKEMAL;MAHMUT DOĞAN;2;%2.06(12);;1:30.60;41,65;2,5 Boy
2;ALİZE RÜZGARI;3y d  d;SONALP;ECEBALIN;57 +0.30;İ.KATAR;MUSTAFA DEMİR;E.ALTIN;6;%24.34(1);26;1:31.14;2,90;6,5 Boy
3;ALİYE ANA K;3y k  d;POYRAZYELİ;KIZILNEHİR;57;A.ÇANKAYA;MAHMUT YARDIMCI;EY.YARDIMCI;4;%14.27(2);22;1:32.34;7,70;3,5 Boy
4;YAZ MELTEMİ DB SKG SK;3y k  d;YILMABAŞAR;ÇEŞMİAHU;57 +0.20;Y.CENGİZ;MEHMET KILIÇ;EY.YARDIMCI;3;%7.72(5);10;1:33.00;10,75;Boyun
5;SEYRAN ABLA KG K DB;3y k  d;ŞİMŞEĞİNOĞLU;ASİ GÜZEL;57;A.H.BAYAR;MEHMET ALİ ÇEÇAN;M.A.SUBAY;7;%6.53(6);10;1:33.09;9,35;
6;TRIAN KG K;3y a  d;SAADIN GÜCÜ;OKGİBİ;57 +1.00;M.A.AKTÜRK;HAMZA CANLIKA;Y.BAYSAL;13;%3.31(8);9;1:33.18;20,70;
7;LAVİN DENİZİ DB SKG SK;3y a  d;DENİZİM;SENİBE;57 +0.30;Y.ÇELİKBAŞ;SERKAN AKSU;M.ÇİÇEK;1;%1.8(13);14;1:37.36;32,25;
8;SEYYARETAY KG K;3y a  d;FİRİKYA;GÜLHAYAT;57;A.AKDEMİR;NİMET ARİF KURTEL;ES.YILDIRIM;10;%13.61(3);;1:37.94;4,80;
9;ARSELYA KG K DB;3y a  d;ANKA;TOMRİS HATUN;57;İ.AKYAVUZ;ERDAL YAVUZEL;İ.ATMACA;5;%11.43(4);;1:37.95;6,60;
10;ÇİĞDEMGELİN KG K;3y a  d;KAYAYÜREKLİ;MAVİDİLEK;57;M.E.DOĞAN;MEHMET DURMAZ;S.KARAKEÇİLİ;9;%2.53(10);;1:40.63;21,30;
11;CAN HİLALİM DB SKG;3y k  d;SON MARTI;NAZLIYEL;57 +2.00;A.ŞENBAHAR;MUSTAFA ÜSLEN;A.AKBABA;8;%2.37(11);7;1:42.77;43,75;
12;EDEPLİ KG DB SK;3y a  d;ORHUNKAAN;MEYRİK;57;N.ALTIN;LÜTFİ SABANCI;E.ALTIN;11;%4.3(7);;1:46.20;20,55;
13;SERHANTAYIN KIZI KG K;3y k  d;SERHANTAY;ÖZPINAR;57 +2.00;R.DOĞAN;VEYSEL TOPRAK;R.BARMAN;15 - DS;%1.34(15);;1:47.00;31,20;
14;ALGHABRA KG SK;3y k  d;DİLİRAN;MELDAN;57 +0.50;M.DOĞAN;BİLAL AVCI;E.AÇMAZ;14;%2.66(9);;2:01.08;43,05;
15;GÜLBİN TAY KG DB SK;3y a  d;SERHANTAY;EZHATIM HATIM;57;M.N.SUNKAR;ALİ SUNKAR;M.A.SUBAY;12;%1.72(14);;2:26.43;36,95;
GANYAN(6) :41,65 TL, İKİLİ(3/6) :76,65 TL, SIRALI İKİLİ(6/3) :278,15 TL

2. Kosu :   18.30;ŞARTLI 3/Dişi; 2 Yaşlı İngilizler; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.12.50
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL;5.)14.000 TL;1.)84.000 TL;2.)33.600 TL;3.)16.800 TL;4.)8.400 TL;5.)4.200 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ASPUWA KG SK;2y d  d;GOOD CURRY;FİRDES TAY;57;H.ALTUNKILIÇ;İSMAİL SANCAR;E.ALTIN;2;%48.77(1);33;1:18.76;1,65;12 Boy
2;IRRITABLE GIRL KG K;2y d  d;BUSHRANGER (IRE);MADE OF HONOUR;56 +1.50;M.DOĞAN;İBRAHİM HALİL YILDIZSOY;EY.YARDIMCI;8;%2.42(8);22;1:21.00;20,40;2,5 Boy
3;THE BIG RUNNER KG K DB;2y a  d;FINESSE;ROYAL KAŞGAR;55 +2.00;İ.KATAR;HÜSEYİN ÇELİK;S.KARAKEÇİLİ;4;%3.35(5);;1:21.40;17,55;Yarım Boy
4;AŞAN STAR DB SK;2y a  d;FLY BY ME;SPRING BREEZE;54 +2.00;N.ALTIN;BÜLENT YARDIMCI;EY.YARDIMCI;3;%5.76(3);22;1:21.52;15,35;2,5 Boy
5;PRENSES FEHİME SKG SK;2y d  d;HEMSWORTH (USA);PRENSES REVNA;57;İ.AKYAVUZ;MAHMUT YARDIMCI;EY.YARDIMCI;5;%29.2(2);33;1:21.92;2,55;
6;EMPRESS GIRL KG K;2y d  d;APPROVE (IRE);STARLIGHT CIRCUS (IRE);56 +2.00;M.A.AKTÜRK;MAHMUT CANLIKA;İ.ATMACA;1;%2.72(7);;1:24.19;22,30;
7;ALPERİN KIZI KG SK;2y a  d;MY FREEDOM;EMIKA;57 +0.90;MEH.TAŞKAYA;ALİ BAKIR;F.BAKIR;7;%4.46(4);30;1:27.91;18,05;
8;NİSANUR HAT DB SKG SK;2y d  d;RUNNER BULL;DATÇALI KIZ;55 +1.30;S.KAPLAN;ZABİTE CANPOLATLI;S.KARAKEÇİLİ;9 - DS;%0.56(9);;1:28.44;34,85;
9;LARALİVA KG K;2y d  d;KUZEY KAFKASYALI;DANS DANS;55 +1.30;A.AKDEMİR;SİNAN CANLIKA;Y.BAYSAL;6;%2.76(6);;1:30.03;23,25;
GANYAN(2) :1,65 TL, İKİLİ(2/4) :22,50 TL, SIRALI İKİLİ(2/4) :24,90 TL, ÜÇLÜ BAHİS(2/4/9) :476,50 TL, PLASE(2) :1,80 TL, PLASE(4) :9,10 TL, 1. ÇİFTE(6/2) :73,65 TL

3. Kosu :   19.00;Maiden/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.21.14
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)118.500 TL;2.)47.400 TL;3.)23.700 TL;4.)11.850 TL;5.)5.925 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SON KRALİÇE KG DB SK;3y a  d;GÜMBÜRGÜMBÜR;ASLIATLI;57 +1.00;M.A.AKTÜRK;NÜSRET CANPOLAT;E.ALTIN;13;%6.73(5)  %6.49(5);25;1:30.18;13,55;1 Boy
2;NERGİS SULTAN SK;3y k  d;TÜMÖZ BEY;SERVERMEZ;57 +0.50;M.DOĞAN;ĞEMDİN ULUCAN;B.FAHRİOĞLU;10;%2.54(11)  %2.34(11);10;1:30.36;24,25;2,5 Boy
3;BUZ KRALİÇESİ KG SK;3y a  d;GELİBOLU;SUNEKSPRES;57;İ.AKYAVUZ;NERGİZ DOĞAN;MAHMUT DOĞAN;2;%20.39(1)  %19.8(2);;1:30.86;4,50;1,5  Boy
4;AFRİKA SULTANI K SKG;3y a  d;AFRİKAANDER;İLKAYIM;57;A.AKDEMİR;FIRAT TEKİNALP;K.TAŞDEMİR;3;%17.22(2)  %23.81(1);;1:31.15;3,25;4,5 Boy
5;KETRİN;3y a  d;BALALAYKA;BELİSCAN;57 +0.30;Y.CENGİZ;MUHAMMED ALP EREN;E.AÇMAZ;6;%3.74(9)  %3.05(9);;1:32.04;19,05;
6;MOSKOVALI TANYA KG SK;3y a  d;SERHANTAY;MÜSADENLE;57;İ.KATAR;MAHMUT KARAKEÇİLİ;S.KARAKEÇİLİ;11;%4.9(8)  %4.25(8);;1:33.00;12,90;
7;BALTIMORE KG SK;3y k  d;GÜMBÜRGÜMBÜR;MOR YAĞMUR;57 +2.00;R.DOĞAN;SALİH KIZILKANAT;Y.BAYSAL;12;%5.48(7)  %5.04(7);26;1:33.02;12,20;
8;ŞAHİDE ZÜMRA KG DB SK;3y d  d;KAYAYÜREKLİ;CANANSULTAN;57;H.ALTUNKILIÇ;HALİL KAYA;RES.KAYA;1;%2.23(12)  %1.66(12);;1:34.91;29,75;
9;NEHİRAFRA KG SK;3y a  d;HABERKAN;SU İYESİ;57;A.ÇANKAYA;AHMET ÇİÇEK;M.ÇİÇEK;4;%1.3(14)  %0.82(15);9;1:36.78;49,85;
10;BİRİNCİSOY KG SK;3y k  d;KARAÜZÜM;AYİNCİSİ;57 +2.00;A.ŞENBAHAR;MEHMET S. MELİK;S.KARAKEÇİLİ;5;%11.44(3)  %10.57(4);19;1:44.87;9,00;
11;TALİHLİ KIZ KG SK;3y k  d;KARAÜZÜM;İSMİNAZ;57;M.E.DOĞAN;SİNAN KILINÇ;E.ALTIN;8;%3.7(10)  %3.03(10);;1:46.10;17,60;
12;KIZIM DAMLA KG K;3y a  d;GÜMBÜRGÜMBÜR;ALARASULTAN;57;N.ALTIN;ÜMİT AKALTUN;F.BAKIR;14;%6.25(6)  %5.85(6);28;1:46.77;12,35;
13;TAÇSIZKIZ KG DB SK;3y k  d;SON MARTI;ÇİLLİKIZ;57;A.H.BAYAR;KEMAL YARDIMCI;EY.YARDIMCI;9;%11.44(4)  %11.16(3);;1:48.72;7,70;
14;CANGÜLİSTAN KG SK;3y a  d;CANYOLDAŞ;GÜLİSTAN;57 +0.50;Y.ÇELİKBAŞ;BAKİ BAKIR BOYRAZ;H.TÜRKMAN;15;%1.48(13)  %1.21(13);;1:57.51;41,90;
