İstanbul;(41. Yarış Günü);17/07/2026
1. Kosu :   16.45;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1600m; Çim;;;;Rekor Derece :1.43.29
İkramiye;;;;;Yetiştirici Primi;;;;
1.)600.000 TL;2.)240.000 TL;3.)120.000 TL;4.)60.000 TL;5.)30.000 TL;1.)180.000 TL;2.)72.000 TL;3.)36.000 TL;4.)18.000 TL;5.)9.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;AFRİKA ATEŞİ KG K DB;3y k  e;AFRİKAANDER;DİCLENİN ATEŞİ;57;MÜS.ÇELİK;CEMİL AKDÖNER;R.KONUK;5;%5.29(6);15;1:47.63;16,45;1 Boy
2;GÜMÜŞ KILIÇ KG SK;3y k  e;BERKSOY;BELİZ HANIM;57;A.ASLAN;GÜROL ULUDAĞ;Y.DEMİRKIRAN;7;%45.89(1);;1:47.76;1,45;5,5 Boy
3;BEYÇIKMAZ KG GKR;3y k  e;OĞLUM BURAK;CEYLİNAY;54 +2.00;ER.CANKILIÇ AP;SEFA ÇIKMAZ;A.AVCI;1;%0.89(10);;1:48.62;62,00;Yarım Boy
4;BOZALAN KG SK;3y a  e;ÖZGÜNHAN;VERA;57 +0.40;SAL.ÇELİK;FETHİ POLAT;İ.KÖKSEL;6;%3.24(8);;1:48.68;23,75;Baş
5;ALPLİ KG SK;3y a  e;ARASLI;BELMACIK;57;E.ÇİZİK;MEHMET KILIÇ;H.DOLMAZ;10;%6.6(5);32;1:48.70;17,50;
6;TANERDEN KG;3y a  e;AYABAKAN;ELANİLİM;57;A.SÖZEN;BURCU TEMELKURAN;Y.DEMİRKIRAN;4;%14.58(2);;1:49.52;5,30;
7;MESTAN KG K;3y a  e;GELİBOLU;EMİRHATUN;57;G.ÖZÇELİK;ERSEN BÜYÜKTÜRKLER;G.SUBAŞI;8;%9.32(3);25;1:50.02;8,75;
8;KARANLIK KG K DB;3y k  e;TALİPHAN;FÜLANE;54;B.ÇIĞLA AP;METE ÇELİK;B.ÇAPKIN;9;%7.49(4);;1:51.89;12,40;
9;AYBUKET;3y a  d;FATİH AĞA;DESTİNA;52 +1.60;B.ÇETİN AP;ŞENAY ÇAKIR;C.GÜNEŞ;2;%4.44(7);23;1:54.37;19,40;
10;TEPEBAĞ KIZI K;3y d  d;HALİÇ;AK NİSA;55;A.YILDIZ;A.SELÇUK LOKLAR;S.ÇİFTÇİ;3;%2.26(9);;1:57.58;20,90;
GANYAN(1) :16,45 TL, İKİLİ(1/5) :13,20 TL, SIRALI İKİLİ(1/5) :48,45 TL

2. Kosu :   17.15;Handikap 16/DHÖW/Dişi /H1; 4 Yaşlı Araplar; kg; 1200m; Çim;;;;Rekor Derece :1.16.50
İkramiye;;;;;Yetiştirici Primi;;;;
1.)730.000 TL;2.)292.000 TL;3.)146.000 TL;4.)73.000 TL;5.)36.500 TL;1.)131.400 TL;2.)52.560 TL;3.)26.280 TL;4.)13.140 TL;5.)6.570 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ERDEK KG DB SK;4y k k;TURBO;NİHANSULTAN;59,5;Y.GÖKÇE AP;ÜMİT BEKMEZCİ;C.TURAN;8;%23.78(1);73;1:18.17;2,25;Boyun
2;ŞİMŞEK YELELİ DB SK;4y k k;TURBO;TACİSERİM;58;H.KARATAŞ;SOLAIMAN IRHAIM;Y.ARHIM;3;%17.32(3);66;1:18.20;4,90;Burun
3;TUMBUL MÜZEYYEN KG K;4y a k;FATİH AĞA;TUMBUL FUNDA;56 +0.30;İSM.YILDIRIM AP;REŞİT TUMBUL;M.Ş.KILINÇ;9 - DS;%14.82(4);66;1:18.22;3,00;2 Boy
4;DİSTİLE KG DB SK;4y a k;ÖZDURAN;GÜRGÖZE;53 +2.00;G.ÖZÇELİK;AHMET KAYA;M.DEMİRTAŞ;5;%1.53(2);56;1:18.51;4,35;2 Boy
5;KIR PAPATYASI K;4y a k;KARAÜZÜM;KUMBAĞGÜLÜ;59 +0.20;M.KAYA;MEHMET KAYA;E.USLU;1;%12.14(5);68;1:18.80;8,60;
6;SEMRAKAYA KG K;4y k k;YÜREKKAYA;ANAYA (FR);59;A.YILDIZ;AHMET KAYA;M.DEMİRTAŞ;11 - DS;%16.56(2);68;1:19.33;4,35;
7;EFSANE HANIM KG K DB;4y k k;KAFKASLIEFSANESİ;HANIMCIM;50 +1.40;HAK.YILDIZ;AHMET KAYA;M.DEMİRTAŞ;7;%0.91(2);46;1:20.74;4,35;
8;YEŞİLKAYA KG DB SK;4y k k;DEMİRTURBO;HALEPLİKIZ;56;ER.CANKILIÇ AP;AHMET KAYA;M.DEMİRTAŞ;2;%3.11(2);66;1:21.30;4,35;
9;ÇELİKBENGÜ KG K DB;4y k k;BİÇER;AHUSEL;52 +1.80;B.ÇETİN AP;AKIN DEMİR;E.KOCA;6;%0.4(7);18;1:23.26;70,20;
10;PAMUK ELLA DB SKG SK;4y k k;PARPALİ;GÜLBENLİ;50 +0.10;M.T.ERTAL AP;BAHRİ ÇABUK;HAK.EL;4;%0.51(6);8;1:23.49;124,00;
