Ankara;(39. Yarış Günü);18/07/2026
1. Kosu :   14.00;ŞARTLI 4/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1300m; Çim;;;;Rekor Derece :1.23.75
İkramiye;;;;;Yetiştirici Primi;;;;
1.)595.000 TL;2.)238.000 TL;3.)119.000 TL;4.)59.500 TL;5.)29.750 TL;1.)178.500 TL;2.)71.400 TL;3.)35.700 TL;4.)17.850 TL;5.)8.925 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;TUNA ASLANI KG DB SK;3y a  e;TOROS ASLANI;BİNNAZ;57 +0.20;M.S.ÇELİK;NİMET ARİF KURTEL;C.DEMİR;4;%34.61(2);46;1:25.26;2,15;Yarım Boy
2;KATI YÜREKLİ K DB;3y a  e;SABRİNİN ATI;MAYISYAĞMURU;57;G.KOCAKAYA;İMAM KATI;C.KATI;1;%35.59(1);47;1:25.37;2,10;Yarım Boy
3;TİBET ASLANI KG K DB;3y d  e;ÖZDURAN;GÜRGÖZE;51 +2.00;M.T.COŞKUN AP;AHMET KAYA;HÜS.KAYA;5;%6.2(4);39;1:25.43;13,60;Yarım Boy
4;SÜPEROĞLAN KG;3y d  e;ENDEREFE;ASLIDİLAN;55 +0.30;V.ABİŞ;ÜMİT ARSLAN;Ü.ARSLAN;6;%4.91(5);26;1:25.53;8,30;9 Boy
5;KÜÇÜK AZAT KG SK;3y a  e;SABRİNİN ATI;GÜNEŞİMSİN;59;Y.CENGİZ;SABRİ KATI;C.KATI;9;%7.9(3);37;1:26.90;8,25;
6;KERVAN SANCAĞI KG SK;3y a  e;ODİNHAN;AYTOLUN;57 +0.20;M.AKYAVUZ;SEMİH KATI;M.DOLAK;3;%4.65(3);42;1:27.12;8,25;
7;URFA BEYİ KG SK;3y k  e;DERHADIR;İSTAMBUL KIZI;55 +2.00;SAL.ÇELİK;MEHMET CAMUZ;E.ÇETİNKURT;2;%4.11(6);34;1:29.30;23,45;
8;CEO ENDER KG SK;3y a  e;GÜMBÜRGÜMBÜR;NEMESİS;55 +1.00;N.DEMİR;MAHMUT KARAKEÇİ;AR.KILIÇ;7;%1.2(7);37;1:29.89;38,80;
9;SAADIN CEVHERİ SK;3y d  d;SAADIN GÜCÜ;UÇANALTIN;51 +2.00;M.KESKİN;MERAL ÖZKAN;MEH.AKKUŞ;8;%0.84(8);;1:32.34;44,50;
[(1)KÜÇÜK AZAT,(3)KERVAN SANCAĞI,] eküridir.GANYAN(4) :2,15 TL, İKİLİ(2/4) :1,85 TL, SIRALI İKİLİ(4/2) :3,45 TL

2. Kosu :   14.30;Handikap 17 /H1; 3 ve Yukarı İngilizler; kg; 2000m; Kum;;;;Rekor Derece :2.06.89
İkramiye;;;;;Yetiştirici Primi;;;;
1.)795.000 TL;2.)318.000 TL;3.)159.000 TL;4.)79.500 TL;5.)39.750 TL;1.)190.800 TL;2.)76.320 TL;3.)38.160 TL;4.)19.080 TL;5.)9.540 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;TYWIN LANNISTER SK;4y d  a;TOROK (IRE);AMANOS KARTALI;63;E.ÇANKAYA;BERKAY UĞUR ÇETİNEL;E.KARATAŞ;2;%7.15(5);83;2:12.92;9,85;Boyun
2;GECENİN ATEŞİ DB SKG SK;4y d  a;WEST COAST** (USA);NOT A PROBLEM (USA);52 +1.30;M.KESKİN;M.DİLAN TAN;Ö.F.TAN;1;%32.7(1);61;2:12.97;1,80;5,5 Boy
3;HAWORTH KG SK;4y d  a;GLOBAL CAMPAIGN (USA);ABOVE THE MIEN (USA);55,5;MÜS.ÇELİK;AHMET BARMAN;Z.YILMAZ;6 - DS;%5.93(6);68;2:13.87;12,45;2,5 Boy
4;TAM TIME KG SK;3y d  e;HASAFET;KRALİÇE HAVVA;55;M.A.SOLMAZ;ERKUTAY ÖZYURTERİ;V.YILDIRIM;4;%26.51(2);79;2:14.34;3,25;2,5 Boy
5;ŞERDİL SK;5y d  a;ABJAR ACADEMY;FAIRY TALE;57,5;N.DEMİR;F.SEDAT DAĞYUDAN;M.KORKMAZ;5 - DS;%2.51(7);71;2:14.76;22,05;
6;KING MALKOÇ KG K DB;5y d  a;AUTHORIZED (IRE);TROPICAL THUNDER;59,5;SAL.ÇELİK;MEHMET CAHİT MALKOÇ;A.ÇIKMAN;3;%13.16(3);75;2:15.37;6,75;
7;AGE OF DISCOVERY DB SK;4y d  a;INVINCIBLE SON (IRE);OVER ANDOVER (USA);52 +2.00;U.TEMUR;KURTCA KAVAS;O.BULUT;7 - DS;%12.04(4);54;2:17.03;10,10;
GANYAN(1) :9,85 TL, İKİLİ(1/6) :12,30 TL, SIRALI İKİLİ(1/6) :43,85 TL, ÜÇLÜ BAHİS(1/6/5) :732,10 TL, 1. ÇİFTE(4/1) :27,55 TL

3. Kosu :   15.00;Kısa Vade Handikap 22/DHÖW /H1; 4 ve Yukarı Araplar; kg; 1400m; Kum;;;;Rekor Derece :1.34.92
İkramiye;;;;;Yetiştirici Primi;;;;
1.)975.000 TL;2.)390.000 TL;3.)195.000 TL;4.)97.500 TL;5.)48.750 TL;1.)234.000 TL;2.)93.600 TL;3.)46.800 TL;4.)23.400 TL;5.)11.700 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ATAMANBEY KG K DB;4y k  a;AYABAKAN;AHSENKIZ;53 +2.00;G.KOCAKAYA;BİRKAN BORA AKARSU;V.YILDIRIM;6;%15.07(3)  %15.65(3);84;1:36.77;4,75;Boyun
2;ASLAN HATİP K;4y k  a;FATİH AĞA;SENA HATUN;58;İ.AKYAVUZ;NEŞET AKYAVUZ;E.ÇETİNKURT;9;%17.26(2)  %19.58(1);94;1:36.81;4,35;Boyun
3;MUHAFIZ KG K;5y k  a;YILMABAŞAR;TOKUŞ HANIM;58;N.DEMİR;AHMET KILIÇCIOĞLU;Y.MİSDİK;3;%4.62(9)  %4.21(9);91;1:36.88;15,40;2,5 Boy
4;KETHÜDA KG K;4y k  a;ARASLI;SARIYELE;52 +1.50;E.ÇİZİK;MEHMET YILDIZ;H.TURAN;5;%8.31(6)  %7.54(6);63;1:37.30;9,70;1 Boy
5;GÖLGENİN GÜCÜ KG DB SK;5y d  a;SAADIN GÜCÜ;ALNAZ;60,5;M.AKYAVUZ;SERKAN ÜLGEN;Ş.AYDEMİR;10 - DS;%11.75(4)  %10.96(4);96;1:37.48;8,85;
6;BAY TOSUNOĞLU KG DB SK;7y a  a;UÇANOĞLU;ARTVİNLİ;61;E.ÇANKAYA;SEVGİ TOSUNOĞLU;C.KARATAŞ;1;%5.25(8)  %4.57(8);97;1:37.49;16,20;
7;ORÇUNTAY KG SK;5y a  a;ORÇUN;BELMACIK;55;MÜS.ÇELİK;AİT ÇELİK;M.DAŞ;7;%6.54(7)  %5.82(7);85;1:39.13;10,75;
8;ENDORFİN KG K DB;5y k  a;YILMABAŞAR;ŞELALE;60;V.ABİŞ;ŞEREF ATLI;Ü.ARSLAN;4;%17.99(1)  %18.98(2);95;1:39.63;3,45;
9;NAZİKO SK;5y k k;UÇANBEY;ÇALKUYRUK;55,5;M.A.SOLMAZ;DENİZ GÖK;E.ACER;2;%2.23(10)  %1.88(10);86;1:39.99;27,15;
10;İLBAN BEYİ KG DB SK;5y k  a;TÜMÖZ BEY;NEŞE;56,5 +0.50;SAL.ÇELİK;AHMET KAYA;HÜS.KAYA;8;%10.97(5)  %10.8(5);88;1:43.02;7,25;
GANYAN(9) :4,75 TL, İKİLİ(4/9) :10,05 TL, SIRALI İKİLİ(9/4) :23,05 TL, 2. ÇİFTE(1/9) :73,45 TL

4. Kosu :  CANBERK KOŞUSU 15.30;ŞARTLI 1/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.20.56
İkramiye;;;;;Yetiştirici Primi;;;;
1.)835.000 TL;2.)334.000 TL;3.)167.000 TL;4.)83.500 TL;5.)41.750 TL;1.)250.500 TL;2.)100.200 TL;3.)50.100 TL;4.)25.050 TL;5.)12.525 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ULUALP KG DB SK;3y k  e;YILMABAŞAR;ANTEP GÜLÜ;57 +0.40;E.ÇANKAYA;MUSTAFA DEMİR;ÇET.ARSLAN;2;%12.85(4)  %12.8(4);;1:25.53;6,80;Yarım Boy
2;HERKÜLBEY;3y k  e;GELİBOLU;DOĞAGÜZELİ;57;V.ABİŞ;ŞEREF ATLI;Ü.ARSLAN;8;%25.88(1)  %26.32(1);;1:25.64;2,45;1,5  Boy
3;KARAMAHMUTOĞLU K DB SKG;3y a  e;BATMANASLANI;ASİ BİLGİN;57;F.R.BEBEK;MUHAMMET FELHAN;S.POLAT;7;%8.23(5)  %8.55(5);;1:25.90;8,90;4 Boy
4;DİYAREFE DB SKG SK;3y k  e;KAFKASEFE;AYŞE HANIM;57;N.DEMİR;N.CEHDİ ADVAN;M.A.CANPOLATLI;9 - DS;%4.93(8)  %4.63(8);;1:26.59;16,60;5 Boy
5;HUN DAY KG K;3y a  e;AFRİKAANDER;YARENİM;57;A.KURŞUN;HÜSEYİN BECENE;M.DEMİROL;1;%17.53(2)  %17.52(2);;1:27.46;4,30;
6;AVDANCI;3y a  e;SERHANTAY;TEZGEL GÜR;57 +0.20;H.ÇİZİK;ABDULKADİR YAŞARER;O.GİRİŞKİN;6;%13.81(3)  %14.04(3);;1:27.78;6,70;
