Diyarbakır;(14. Yarış Günü);18/07/2026
1. Kosu :   21.00;ŞARTLI 19; 2 Yaşlı İngilizler; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.10.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)118.500 TL;2.)47.400 TL;3.)23.700 TL;4.)11.850 TL;5.)5.925 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;VALENTINE GIRL KG K;2y d  d;CİHANIM;WONDER SEA;55 +1.00;S.KAPLAN;MAHMUT SİNANLI;M.BULUÇ;12 - DS;%18.66(2);25;1:20.11;6,40;4,5 Boy
2;ANGEL OF DONYA K;2y d  d;ANGEL OF DEATH;DONYA LASTVA;55 +2.00;M.IŞIK;AHMET YEŞİLYAPRAK;Z.AKDEMİR;11 - DS;%13.98(4);25;1:20.80;5,60;2 Boy
3;VIA SISTINO KG K;2y d  e;HAKEEM (USA);BALSU;55 +1.00;A.H.BAYAR;CENGİZ ÇETİN;B.DEMİRKAPU;8;%3.03(10);;1:21.10;27,15;2,5 Boy
4;WIND CITY KG K;2y k  e;SMART ROBIN (JPN);KIRGÜLÜM;55 +1.10;N.ALTIN;İBRAHİM HALİL ALTINTEN;V.ÇİZİK;10;%20.26(1);;1:21.47;2,10;12 Boy
5;KUMSAL STAR KG SK;2y a  d;KING OF THE SUN;ÖZAYSUZANSUZİ;55 +2.00;İ.KATAR;İSA ÖZKAN;E.AÇMAZ;9;%3.55(8);9;1:23.44;20,45;
6;CARSON ZIP KG DB SK;2y d  e;RUN AWAY AND HIDE (USA);PRENSES ŞİRİN;55 +2.00;F.YARDIMCI;REŞİT DEMİR;OS.DEMİR;6;%17.51(3);15;1:25.13;5,45;
7;JER KG K;2y a  e;CAPTAIN PITT;POENA;55 +1.50;M.E.DOĞAN;ALİ ÇİZİK;O.GÖRMEZ;3;%2.7(11);;1:25.94;35,45;
8;OTTO MOYE DB SK;2y d  d;LION KING;OKO MOYE;55 +1.50;L.TAPTIK AP;MURAT AZİZOĞLU;E.AÇMAZ;5;%2.81(7);7;1:27.38;11,80;
9;AZİZOĞLUM KG K;2y d  e;LION KING;JILLIAN;53;H.YÖNDEN AP;MURAT AZİZOĞLU;E.AÇMAZ;4;%1.26(7);;1:29.68;11,80;
