İzmir;(28. Yarış Günü);19/07/2026
1. Kosu :   18.30;ŞARTLI 4; 2 Yaşlı İngilizler; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.11.25
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)147.000 TL;2.)58.800 TL;3.)29.400 TL;4.)14.700 TL;5.)7.350 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;HILL OF ANGELS K;2y d  d;VICTOIRE PISA (JPN);GALYALI PRENSES;52 +1.80;Ö.F.ÖZEN AP;BARIŞ ERDUMAN;B.GÜL;4;;45;1:15.73;1,95;2 Boy
2;LUNGTA KG DB;2y d  e;FEARLESS KING (GB);MATMAZEL ÇİKOLATA;57 +0.10;M.M.BİLGİN;FATMA RANA ATAŞ ÇALIK;Y.ARSLANCA;2;;49;1:15.98;1,75;11 Boy
3;LADY ECRİN KG K;2y d  d;SUPER ALP (USA);GÜVEN UNSURU;53 +2.00;A.KÜRÜNDÜK;NİHAT DERİN;O.AKTAŞ;5;;30;1:17.87;12,45;4 Boy
4;SHADOW KG DB SK;2y d  e;SUPER SAVER (USA);MINT COPY;54 +0.80;A.MEH.ALTIN;GÖKHAN USLU;M.A.PAKEL;1;;;1:18.63;19,70;5 Boy
5;THE BLACK SONYA DB SK;2y d  d;HEMSWORTH (USA);BORA KIZI;51;M.B.ÖNCEL AP;İSHAK FELHAN;V.ÖNDER;3;;10;1:19.63;41,55;
6;BEAUTY ALYA K;2y d  d;ULAN BATOR;MIA SAN MIA;51 +1.60;S.AKŞIN AP;İLHAN SÖNMEZ;B.AKTAŞ;6;;40;1:20.14;9,00;
GANYAN(3) :1,95 TL, SIRALI İKİLİ(3/1) :2,55 TL

2. Kosu :   19.00;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 1400m; Kum;;;;Rekor Derece :1.24.15
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;STORM BELLE KG K DB;3y d  d;MENDIP (USA);LUCKY NAME;54,5 +0.50;A.İNCİ;EDA KAMBER;M.A.PAKEL;5;%16.22(3);40;1:29.24;4,30;Baş
2;MORIARTY DB SK;3y d  e;TILSIT (USA);DATIA (IRE);61,5;A.MEH.ALTIN;ENGİN ATEŞLER;M.BULUT;8 - DS;%18.49(2);54;1:29.27;3,50;5 Boy
3;TI VOGLIO BENE DB SK;3y a  d;COPPERFIELD;STILL LOVIN YOU;58;MER.ÇELİK;DUYGU FATURA;Z.KURT;2;%9.7(5);47;1:30.05;12,45;2 Boy
4;OCAKOĞLUŞAH SKG SK;3y d  d;MENDIP (USA);MYSTIC GIRL;61;M.M.BİLGİN;FUAT OCAKOĞLU;Ş.ÖZDENİZ;4;%20.96(1);53;1:30.33;3,95;4 Boy
5;AVENGING KG K DB;3y d  e;KINOWA;CYPRIANA;54;İ.S.SÖĞÜT;A.FERHAT KÜÇÜKER;E.AYHAN;1;%3.4(8);39;1:31.01;27,75;
6;KUZEYİN KRALI KG K DB;3y d  e;KINOWA;CHERISH;58,5;İ.SOYAD;SONER SOYAD;T.SOYAD;7;%8.16(7);48;1:31.20;9,55;
7;SONANDA SK;3y d  d;EPAULETTE (AUS);HALAAK (USA);55 +1.50;K.TOKAÇOĞLU;NURTEN ERDÖLEK;N.GÖNÜLTAŞ;6;%9.25(6);41;1:31.37;7,60;
8;LA PUERTA DB SK;3y k  e;NATIVE KHAN (FR);KRUNG THEP;52 +1.80;Ö.F.ÖZEN AP;ERKAN BAL;E.ATEŞ;3;%13.82(4);39;1:32.62;4,60;
GANYAN(7) :4,30 TL, İKİLİ(1/7) :9,45 TL, SIRALI İKİLİ(7/1) :24,90 TL, 1. ÇİFTE(3/7) :9,55 TL

3. Kosu :   19.30;KV-6; 3 ve Yukarı İngilizler; 55.00kg; 60.00 kg; 60.00 kg; 1200m; Kum;;;;Rekor Derece :1.11.25
İkramiye;;;;;Yetiştirici Primi;;;;
1.)695.000 TL;2.)278.000 TL;3.)139.000 TL;4.)69.500 TL;5.)34.750 TL;1.)166.800 TL;2.)66.720 TL;3.)33.360 TL;4.)16.680 TL;5.)8.340 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;THE ADMIRAL SK;4y k  a;NATIVE KHAN (FR);PLEINE FORME (USA);63;K.YILMAZ AP;AYŞEGÜL HAYMANA;SEY.GÖKÇE;2;%5.33(6);89;1:14.37;13,10;1 Boy
2;FEBRİS KG SK;5y d  a;LILBOURNE LAD (IRE);ZAREEN (GER);57;M.M.BİLGİN;SELMAN ERDEMİRCİ;FAH.CEYLAN;5;%20.01(2);90;1:14.52;4,20;Boyun
3;MUCHACHO K DB SKG;4y d  a;VICTOIRE PISA (JPN);SARIŞINIM;58;A.İNCİ;GÜRHAN Ş. ÖZBELGE;Ş.ÖZDENİZ;7;%8.15(4);80;1:14.55;11,40;2 Boy
4;MY STAR DB;5y d  a;WIENER WALZER (GER);MYBELLE;60;A.MEH.ALTIN;KAYHAN ALTINÖZ;İ.ALTINÖZ;8;%7.14(5);99;1:14.85;11,30;1,5  Boy
5;ULTRA FAST KG K;5y d  a;MENDIP (USA);PHRASE (GB);56 +0.50;K.TOKAÇOĞLU;RECEP DİKKULE;Y.AKKILIÇ;1;%2.96(7);87;1:15.06;25,35;
6;ASLAN HALİLİM DB SK;4y a  a;LION HEART (USA);ALWAYS MARJU;60;T.YILDIZ;ULAŞ GÖKÇE;SEY.GÖKÇE;6;%14.35(3);91;1:15.07;5,50;
7;FLASH BOY KG K;5y a  a;PERFECT STORM;KARALİNDA;56 +0.20;O.ATMACA;ERAY KOKTAY;S.YANIK;9 - DS;%2.45(8);87;1:15.08;29,90;
8;APPRECIATE PROTEO KG DB SK;5y k  a;FROSTED (USA);FANCY STRIKE (USA);56 +2.00;S.KAYA;OĞUZHAN ÖZŞAHİN;SEY.DEMİR;4;%37.95(1);91;1:17.50;1,80;
9;AGE OF FIRE SKG SK;7y d  a;TOROK (IRE);ATEŞİN KIZI;56 +0.10;H.ŞİMŞEK;MAHSUM EROL;S.C.GÖZÜNGÜ;3;%1.66(9);97;1:17.72;25,90;
GANYAN(1) :13,10 TL, 1. 3'LÜ GANYAN(3/7/1) :409,10 TL, İKİLİ(1/5) :34,70 TL, SIRALI İKİLİ(1/5) :111,10 TL, ÜÇLÜ BAHİS(1/5/4) :1.342,50 TL, PLASE(1) :3,10 TL, PLASE(5) :1,75 TL, 2. ÇİFTE(7/1) :118,30 TL

4. Kosu :   20.00;Maiden; 2 Yaşlı İngilizler; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.11.25
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)163.500 TL;2.)65.400 TL;3.)32.700 TL;4.)16.350 TL;5.)8.175 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;PUYOL KG K;2y d  e;SUPER ALP (USA);BULLSEYE;59;M.M.BİLGİN;MAHMUT MELİH KILIÇ;M.TÜRKOĞLU;9 - DS;%17.69(3);31;1:16.78;4,30;Yarım Boy
2;SON OF DENİZ KG K;2y d  d;BLUEGRASS CAT (USA);TATLI PRENSES;57;O.ATMACA;MELTEM AKTÜRK;M.KAYA;2;%20.68(2);;1:16.85;4,25;Burun
3;EMPEROR K;2y d  e;FEARLESS KING (GB);CYPRIANA;57;A.MEH.ALTIN;A.FERHAT KÜÇÜKER;E.AYHAN;3;%26.64(1);;1:16.86;2,15;6 Boy
4;FINAL SHOT KG DB;2y d  e;TOCCET (USA);BİRSU;53 +1.00;M.TEKPETEK AP;GÜLCAN EVREN;E.C.BAYDAN;5;%15.9(4);30;1:17.86;6,00;5,5 Boy
5;LİVİA SK;2y d  d;CORINTHIAN (USA);MISS LİYA;55 +1.50;K.TOKAÇOĞLU;MUSTAFA KOYUÖZ;N.GÖNÜLTAŞ;8;%10.81(5);30;1:18.75;8,30;
