Kocaeli;(22. Yarış Günü);21/07/2026
1. Kosu :   17.45;SATIŞ 1; 3 ve Yukarı İngilizler; 54.00kg; 60.00 kg; 60.50 kg; 2000m; Kum;;;;Rekor Derece :2.07.41
İkramiye;;;;;Yetiştirici Primi;;;;
1.)385.000 TL;2.)154.000 TL;3.)77.000 TL;4.)38.500 TL;5.)19.250 TL;1.)69.300 TL;2.)27.720 TL;3.)13.860 TL;4.)6.930 TL;5.)3.465 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BY TÜRE K DB;4y d  a;CORINTHIAN (USA);ALHİLAL;58;M.M.BİLGİN;HAKAN CANTINAZ;HAK.POLAT;9 - DS;%12.41(5);68;2:12.94;5,15;Boyun
2;AFTER YOU KG SK;4y d  a;DAI JIN (GB);URFAGÜLÜ;57;M.A.AKGÖBEK;YÜKSEL TEKİNALP;K.TEKİNALP;2;%7.16(7);73;2:13.00;14,10;1 Boy
3;SÖNMEZ YİĞİT KG DB SK;6y a  a;KANEKO;SHANTI (GER);60,5;K.TOKAÇOĞLU;MURAT SÖNMEZ;R.KARABULUT;5;%15.43(2);88;2:13.15;5,90;2 Boy
4;RÜZGAR UĞUR DB SK;6y a  a;SIDNEY'S CANDY (USA);PASİFİKA;55,5;G.ÖZÇELİK;MEHMET ÇELİK;M.DAŞ;3;%4.45(8);80;2:13.56;17,30;3 Boy
5;LION PEKAN DB SKG SK;5y d  a;TIZWAY (USA);YASEMİN KIZ;56,5;N.AVCİ;MUZAFFER TEZER;R.SUNA;8 - DS;%9.96(6);88;2:14.18;10,05;
6;GRAND MISSION KG DB;7y d  a;JIMMY CREED (USA);FINANCIAL CRISIS (USA);59,5;M.ÇİÇEK;LÜTFİ TURAN;M.U.TURAN;7;%22.69(1);85;2:15.40;2,75;
7;STEEL FATHER KG K DB;3y d  e;LION HEART (USA);LADY AKARCA;54 +1.40;MAH.TURAN;NAFİZ ÇELİK;Ö.F.TAŞDELEN;1;%13.21(3);59;2:16.03;5,25;
8;SİYAH KRAL K SKG;4y k  a;AGRESIVO (USA);DİRHEM DİRHEM;55 +0.10;O.ATMACA;ZEYNEP CEYLAN;M.ALTIN;6;%1.67(9);27;2:17.30;32,50;
9;KING OF THE NIGHT SK;7y a  a;PACO BOY (IRE);NURMAHAL;59,5;BERK.GÖKÇE AP;SERDAR PEKİN;M.AKKILIÇ;4;%13.01(4);81;2:56.13;6,05;
GANYAN(4) :5,15 TL, İKİLİ(4/5) :35,95 TL, SIRALI İKİLİ(4/5) :60,30 TL

2. Kosu :   18.30;ŞARTLI 3; 3 Yaşlı İngilizler; 58.00kg; 1500m; Kum;;;;Rekor Derece :1.31.23
İkramiye;;;;;Yetiştirici Primi;;;;
1.)400.000 TL;2.)160.000 TL;3.)80.000 TL;4.)40.000 TL;5.)20.000 TL;1.)72.000 TL;2.)28.800 TL;3.)14.400 TL;4.)7.200 TL;5.)3.600 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
